trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1653,False,"{'a': 0.5, 'e': 0.22589160921513443}",20,0,19.503897276258513,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1654,False,"{'a': 0.5, 'e': 0.2256883982255029}",30,0,-17.09584138272034,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
1655,False,"{'a': 0.5, 'e': 0.22548537004348623}",20,0,8.834376350682334,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1656,False,"{'a': 0.5, 'e': 0.22528252450463168}",25,2,32.42176908681897,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1657,False,"{'a': 0.5, 'e': 0.22507986144463424}",25,0,3.2260852979664896,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
1658,False,"{'a': 0.5, 'e': 0.2248773806993369}",20,0,-49.32001324843438,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
1659,False,"{'a': 0.5, 'e': 0.22467508210473025}",25,0,-7.134914169540363,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
1660,False,"{'a': 0.5, 'e': 0.22447296549695234}",25,10,2.332614187975617,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
1661,False,"{'a': 0.5, 'e': 0.22427103071228882}",20,12,15.687853047865552,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1662,False,"{'a': 0.5, 'e': 0.22406927758717235}",20,1,-14.851771568292309,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
1663,False,"{'a': 0.5, 'e': 0.22386770595818306}",25,0,-19.61271278908554,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1664,False,"{'a': 0.5, 'e': 0.22366631566204778}",20,8,-23.58331279857314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1665,False,"{'a': 0.5, 'e': 0.22346510653564045}",20,0,25.61953330909396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1666,False,"{'a': 0.5, 'e': 0.2232640784159816}",20,8,23.440127014956555,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1667,False,"{'a': 0.5, 'e': 0.22306323114023852}",25,17,14.27109241293698,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1668,False,"{'a': 0.5, 'e': 0.22286256454572484}",20,0,-14.828846282256613,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
1669,False,"{'a': 0.5, 'e': 0.22266207846990058}",30,0,11.151474040715527,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
1670,False,"{'a': 0.5, 'e': 0.22246177275037213}",35,9,12.53553142040339,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
1671,False,"{'a': 0.5, 'e': 0.2222616472248917}",20,7,20.81105958027975,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1672,False,"{'a': 0.5, 'e': 0.22206170173135772}",25,0,4.068204261361298,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
1673,False,"{'a': 0.5, 'e': 0.22186193610781427}",20,13,-41.8232559765445,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
1674,False,"{'a': 0.5, 'e': 0.2216623501924512}",20,9,-6.085827498255117,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1675,False,"{'a': 0.5, 'e': 0.22146294382360387}",30,0,-34.82224259450296,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
1676,False,"{'a': 0.5, 'e': 0.2212637168397532}",20,0,24.480846925859737,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1677,False,"{'a': 0.5, 'e': 0.2210646690795253}",30,0,-6.82962303561483,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
1678,False,"{'a': 0.5, 'e': 0.22086580038169135}",20,0,11.716071893982463,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1679,False,"{'a': 0.5, 'e': 0.22066711058516786}",30,13,-5.535232072433415,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
1680,False,"{'a': 0.5, 'e': 0.22046859952901593}",25,0,4.51758742249395,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1681,False,"{'a': 0.5, 'e': 0.22027026705244174}",20,4,-14.286801732373636,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
1682,False,"{'a': 0.5, 'e': 0.22007211299479584}",20,16,9.40120191469228,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1683,False,"{'a': 0.5, 'e': 0.21987413719557358}",25,0,14.292891701027369,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1684,False,"{'a': 0.5, 'e': 0.2196763394944144}",20,9,-32.31520614676961,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
1685,False,"{'a': 0.5, 'e': 0.21947871973110228}",35,5,33.80375770914187,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
1686,False,"{'a': 0.5, 'e': 0.21928127774556513}",25,0,23.229857810433934,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1687,False,"{'a': 0.5, 'e': 0.2190840133778749}",20,5,0.5386822637891711,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
1688,False,"{'a': 0.5, 'e': 0.21888692646824753}",30,0,-55.81400051080696,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
1689,False,"{'a': 0.5, 'e': 0.21869001685704254}",25,0,11.210112098762577,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1690,False,"{'a': 0.5, 'e': 0.21849328438476318}",20,0,-25.41863879277362,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1691,False,"{'a': 0.5, 'e': 0.21829672889205606}",20,0,6.652232102330619,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1692,False,"{'a': 0.5, 'e': 0.21810035021971136}",20,0,25.78553631722605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1693,False,"{'a': 0.5, 'e': 0.2179041482086622}",20,0,-14.402845351122956,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
1694,False,"{'a': 0.5, 'e': 0.21770812269998505}",30,0,-26.835345215840974,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
1695,False,"{'a': 0.5, 'e': 0.2175122735348992}",25,0,17.621168759619074,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1696,False,"{'a': 0.5, 'e': 0.21731660055476673}",25,0,-58.45974247033142,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
1697,False,"{'a': 0.5, 'e': 0.21712110360109269}",25,17,13.8351377803734,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1698,False,"{'a': 0.5, 'e': 0.21692578251552433}",25,0,9.812089347347332,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
1699,False,"{'a': 0.5, 'e': 0.21673063713985175}",30,0,11.822956465510103,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
1700,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,18,8.314806294883732,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1701,False,"{'a': 0.5, 'e': 0.21634087288606477}",25,0,14.927011390516544,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1702,False,"{'a': 0.5, 'e': 0.2161462536922413}",35,0,19.253296160205757,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
1703,False,"{'a': 0.5, 'e': 0.2159518095768952}",20,0,26.828773064946727,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1704,False,"{'a': 0.5, 'e': 0.21575754038252665}",30,8,20.750689786650042,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1705,False,"{'a': 0.5, 'e': 0.21556344595177754}",30,0,9.662578712804056,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
